STATION,DATE,HOUR,DIA,MES ,O3,NO,NO2,NOX,SO2,CO,PM10,PM2.5,IT,ET,RH,WS,WD,PP,ATM,RS,UVI,TIMESTAMP,O3_ppb,O3_8h,PM10_12h,PM25_12h,Cat_O3,Cat_PM10,Cat_PM25,Categoria_Global,Contaminante_Dominante
PIN,2024-03-01 00:00:00,0,1,3,0.011,,,,,,77.0,52.6,20.97,15.06,,5.24,51.0,0.0,,,,2024-03-01 00:00:00,11.0,,,,,,,,
PIN,2024-03-01 01:00:00,1,1,3,0.011,,,,,,67.0,43.0,21.09,14.34,,,52.5,0.0,,,,2024-03-01 01:00:00,11.0,,,,,,,,
PIN,2024-03-01 02:00:00,2,1,3,0.021,,,,,,48.0,24.5,21.0,13.58,,,54.0,0.0,,,,2024-03-01 02:00:00,21.0,,,,,,,,
PIN,2024-03-01 03:00:00,3,1,3,0.01,,,,,,42.0,29.1,21.0,12.12,,,57.2,0.0,,,,2024-03-01 03:00:00,10.0,,,,,,,,
PIN,2024-03-01 04:00:00,4,1,3,0.005,,,,,,85.0,56.1,21.29,11.0,,,59.5,0.0,,,,2024-03-01 04:00:00,5.0,,,,,,,,
PIN,2024-03-01 05:00:00,5,1,3,0.005,,,,,,124.0,87.0,21.36,10.39,,,60.9,0.0,,155.1,,2024-03-01 05:00:00,5.0,10.5,,,Buena,,,Buena,O3
PIN,2024-03-01 06:00:00,6,1,3,0.006,,,,,,140.0,100.6,21.87,9.44,,,62.2,0.0,,152.7,,2024-03-01 06:00:00,6.0,9.857142857142858,,,Buena,,,Buena,O3
PIN,2024-03-01 07:00:00,7,1,3,0.006,,,,,,170.0,112.5,21.77,8.99,,,63.6,0.0,,153.7,,2024-03-01 07:00:00,6.0,9.375,,,Buena,,,Buena,O3
PIN,2024-03-01 08:00:00,8,1,3,0.008,,,,,,202.0,147.6,21.02,12.89,,,55.9,0.0,,157.3,,2024-03-01 08:00:00,8.0,9.0,106.11111111111111,72.55555555555556,Buena,Mala,Mala,Mala,"PM10, PM25"
PIN,2024-03-01 09:00:00,9,1,3,0.025,,,,,,218.0,179.6,20.75,17.43,,,47.0,0.0,528.46,58.7,,2024-03-01 09:00:00,25.0,10.75,117.3,83.26,Buena,Mala,Muy Mala,Muy Mala,PM25
